"(Benchmark_method, commit)",Remove Parameter,Extract Method,Add Parameter,Change Parameter Type,Change Attribute Type,Extract Attribute,Extract Variable,Move Method,Push Down Method,Move Class,Change Variable Type,Change Return Type,Inline Variable,Remove Method Annotation,Add Method Annotation,Parameterize Variable,Extract And Move Method,Remove Class Annotation,Add Class Annotation,Inline Method,Remove Attribute Annotation,Modify Method Annotation,Merge Parameter,Replace Variable With Attribute,Change Package,Split Parameter,Extract Class,Move And Inline Method,Pull Up Attribute,Pull Up Method,Extract Superclass,Add Attribute Annotation,sum,delta
"(com.github.fakemongo.PerfTest.doitFindN,9affe2ac17732a5285073cc09558c0d20442b13e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitFindUniqueIndex,9affe2ac17732a5285073cc09558c0d20442b13e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doit,9affe2ac17732a5285073cc09558c0d20442b13e)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.github.fakemongo.PerfTest.doitFindNWithIndex,9affe2ac17732a5285073cc09558c0d20442b13e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitRemoveWithIndex,9affe2ac17732a5285073cc09558c0d20442b13e)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.github.fakemongo.PerfTest.doitRemoveWithIndexNew,9affe2ac17732a5285073cc09558c0d20442b13e)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(com.github.fakemongo.PerfTest.doitFindN,3a269da7cd3cbecbf47ba3ebbaec22e459146f5e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitFindUniqueIndex,3a269da7cd3cbecbf47ba3ebbaec22e459146f5e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doit,3a269da7cd3cbecbf47ba3ebbaec22e459146f5e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitFindNWithIndex,3a269da7cd3cbecbf47ba3ebbaec22e459146f5e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitRemoveWithIndex,3a269da7cd3cbecbf47ba3ebbaec22e459146f5e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitRemoveWithIndexNew,3a269da7cd3cbecbf47ba3ebbaec22e459146f5e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitFindN,8366e905616828b1567304b3059674a47aba2e3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitFindUniqueIndex,8366e905616828b1567304b3059674a47aba2e3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doit,8366e905616828b1567304b3059674a47aba2e3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitFindNWithIndex,8366e905616828b1567304b3059674a47aba2e3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitRemoveWithIndex,8366e905616828b1567304b3059674a47aba2e3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.github.fakemongo.PerfTest.doitRemoveWithIndexNew,8366e905616828b1567304b3059674a47aba2e3d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
